queue,full_count,en_count,full_pct,en_pct,abs_pct_diff,rel_pct_diff
Technical Support,8361,4736,0.29254723582925124,0.28992959902050813,-0.0026176368087431068,-0.00894774070014089
Product Support,5249,3071,0.18365990202939117,0.18800122436486072,0.00434132233546955,0.023637834320388594
Customer Service,4267,2410,0.1493002099370189,0.1475359657177839,-0.0017642442192349894,-0.011816756453183969
IT Support,3433,1942,0.12011896431070679,0.11888582797673707,-0.0012331363339697227,-0.010265958760516945
Billing and Payments,2786,1595,0.09748075577326802,0.09764309764309764,0.0001623418698296214,0.0016653735246699856
Returns and Exchanges,1437,820,0.05027991602519244,0.05019895928986838,-8.095673532405867e-05,-0.0016101207345592184
Service Outages and Maintenance,1148,664,0.04016794961511547,0.040648913376186105,0.000480963761070638,0.011973819069162747
Sales and Pre-Sales,918,513,0.03212036389083275,0.03140495867768595,-0.0007154052131467942,-0.022272637245899105
Human Resources,576,348,0.020153953813855843,0.02130394857667585,0.0011499947628200065,0.05706050403020102
General Inquiry,405,236,0.01417074877536739,0.014447505356596266,0.0002767565812288753,0.019530131090175942
