kmeans_cluster,cluster_size,mean_similarity,label,cohesion
0,242,0.5971783849362685,"analytics, data analytics, data, investment, analytics tools, tools",0.04817238971819233
1,1310,0.4991590198698715,"problem, support, integration, investment, data, problems",0.2179661053431772
2,169,0.6115329254284259,"management, project management, project, saas, saas project, management saas",0.03444968813246799
3,273,0.5741950264046087,"digital, marketing, digital marketing, campaign, strategy, digital strategy",0.05225174740281939
4,252,0.6594520679196503,"security, breach, data, data security, data breach, healthcare",0.05539397370525063
5,246,0.6705089303620098,"medical, medical data, data, security, securing medical, securing",0.0549817322896848
6,118,0.6207593002322055,"concern, concern regarding, regarding, security, security concern, concern security",0.02441653247580008
7,112,0.5471265912483261,"billing, discrepancies, billing discrepancies, update billing, issue, update",0.020426059406604174
8,165,0.5753830724523402,"assistance, assistance required, required, assistance needed, needed, integration",0.03164606898487871
9,113,0.6422983685703798,"brand, strategies, growth, digital, digital strategies, brand growth",0.024193238549484308
