kmeans_cluster,low,medium,high,cluster_label,high_priority_ratio,cohesion,recurrence_weight,priority_weight,actionability_score
1,0.20916030534351146,0.4076335877862595,0.383206106870229,"problem, support, integration, investment, data, problems",0.383206106870229,0.2179661053431772,1.0,0.8859443938651165,0.9429721969325582
4,0.19444444444444445,0.373015873015873,0.43253968253968256,"security, breach, data, data security, data breach, healthcare",0.43253968253968256,0.05539397370525063,0.2541403105681751,1.0,0.47789821739772254
0,0.1446280991735537,0.4256198347107438,0.4297520661157025,"analytics, data analytics, data, investment, analytics tools, tools",0.4297520661157025,0.04817238971819233,0.22100862720076228,0.9935552354234589,0.4524877399532326
3,0.23443223443223443,0.358974358974359,0.4065934065934066,"digital, marketing, digital marketing, campaign, strategy, digital strategy",0.4065934065934066,0.05225174740281939,0.23972418702693024,0.9400141143260409,0.44693515168140735
5,0.25203252032520324,0.4024390243902439,0.34552845528455284,"medical, medical data, data, security, securing medical, securing",0.34552845528455284,0.0549817322896848,0.2522490008394594,0.7988364287312597,0.40607656723543206
8,0.2,0.4,0.4,"assistance, assistance required, required, assistance needed, needed, integration",0.4,0.03164606898487871,0.1451880279048593,0.9247706422018349,0.376878331774099
2,0.20710059171597633,0.4260355029585799,0.3668639053254438,"management, project management, project, saas, saas project, management saas",0.3668639053254438,0.03444968813246799,0.15805066608052937,0.8481624233212094,0.3602845872267061
6,0.23728813559322035,0.4576271186440678,0.3050847457627119,"concern, concern regarding, regarding, security, security concern, concern security",0.3050847457627119,0.02441653247580008,0.11201985940592653,0.7053335406624165,0.28341226471354586
7,0.25,0.4375,0.3125,"billing, discrepancies, billing discrepancies, update billing, issue, update",0.3125,0.020426059406604174,0.09371209057685516,0.7224770642201834,0.27714013177086305
9,0.25663716814159293,0.45132743362831856,0.2920353982300885,"brand, strategies, growth, digital, digital strategies, brand growth",0.2920353982300885,0.024193238549484308,0.11099541605972732,0.6751644069172688,0.27303506095594454
